-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 09/26/2021 through 10/01/2021 
Location: Latitude  -21.1843   Longitude -47.7953 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 724.49 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2021,9,26,0,-999.0,-999.0
2021,9,26,1,-999.0,-999.0
2021,9,26,2,-999.0,-999.0
2021,9,26,3,-999.0,-999.0
2021,9,26,4,-999.0,-999.0
2021,9,26,5,-999.0,-999.0
2021,9,26,6,-999.0,-999.0
2021,9,26,7,-999.0,-999.0
2021,9,26,8,-999.0,-999.0
2021,9,26,9,-999.0,-999.0
2021,9,26,10,-999.0,-999.0
2021,9,26,11,-999.0,-999.0
2021,9,26,12,-999.0,-999.0
2021,9,26,13,-999.0,-999.0
2021,9,26,14,-999.0,-999.0
2021,9,26,15,-999.0,-999.0
2021,9,26,16,-999.0,-999.0
2021,9,26,17,-999.0,-999.0
2021,9,26,18,-999.0,-999.0
2021,9,26,19,-999.0,-999.0
2021,9,26,20,-999.0,-999.0
2021,9,26,21,-999.0,-999.0
2021,9,26,22,-999.0,-999.0
2021,9,26,23,-999.0,-999.0
2021,9,27,0,-999.0,-999.0
2021,9,27,1,-999.0,-999.0
2021,9,27,2,-999.0,-999.0
2021,9,27,3,-999.0,-999.0
2021,9,27,4,-999.0,-999.0
2021,9,27,5,-999.0,-999.0
2021,9,27,6,-999.0,-999.0
2021,9,27,7,-999.0,-999.0
2021,9,27,8,-999.0,-999.0
2021,9,27,9,-999.0,-999.0
2021,9,27,10,-999.0,-999.0
2021,9,27,11,-999.0,-999.0
2021,9,27,12,-999.0,-999.0
2021,9,27,13,-999.0,-999.0
2021,9,27,14,-999.0,-999.0
2021,9,27,15,-999.0,-999.0
2021,9,27,16,-999.0,-999.0
2021,9,27,17,-999.0,-999.0
2021,9,27,18,-999.0,-999.0
2021,9,27,19,-999.0,-999.0
2021,9,27,20,-999.0,-999.0
2021,9,27,21,-999.0,-999.0
2021,9,27,22,-999.0,-999.0
2021,9,27,23,-999.0,-999.0
2021,9,28,0,-999.0,-999.0
2021,9,28,1,-999.0,-999.0
2021,9,28,2,-999.0,-999.0
2021,9,28,3,-999.0,-999.0
2021,9,28,4,-999.0,-999.0
2021,9,28,5,-999.0,-999.0
2021,9,28,6,-999.0,-999.0
2021,9,28,7,-999.0,-999.0
2021,9,28,8,-999.0,-999.0
2021,9,28,9,-999.0,-999.0
2021,9,28,10,-999.0,-999.0
2021,9,28,11,-999.0,-999.0
2021,9,28,12,-999.0,-999.0
2021,9,28,13,-999.0,-999.0
2021,9,28,14,-999.0,-999.0
2021,9,28,15,-999.0,-999.0
2021,9,28,16,-999.0,-999.0
2021,9,28,17,-999.0,-999.0
2021,9,28,18,-999.0,-999.0
2021,9,28,19,-999.0,-999.0
2021,9,28,20,-999.0,-999.0
2021,9,28,21,-999.0,-999.0
2021,9,28,22,-999.0,-999.0
2021,9,28,23,-999.0,-999.0
2021,9,29,0,-999.0,-999.0
2021,9,29,1,-999.0,-999.0
2021,9,29,2,-999.0,-999.0
2021,9,29,3,-999.0,-999.0
2021,9,29,4,-999.0,-999.0
2021,9,29,5,-999.0,-999.0
2021,9,29,6,-999.0,-999.0
2021,9,29,7,-999.0,-999.0
2021,9,29,8,-999.0,-999.0
2021,9,29,9,-999.0,-999.0
2021,9,29,10,-999.0,-999.0
2021,9,29,11,-999.0,-999.0
2021,9,29,12,-999.0,-999.0
2021,9,29,13,-999.0,-999.0
2021,9,29,14,-999.0,-999.0
2021,9,29,15,-999.0,-999.0
2021,9,29,16,-999.0,-999.0
2021,9,29,17,-999.0,-999.0
2021,9,29,18,-999.0,-999.0
2021,9,29,19,-999.0,-999.0
2021,9,29,20,-999.0,-999.0
2021,9,29,21,-999.0,-999.0
2021,9,29,22,-999.0,-999.0
2021,9,29,23,-999.0,-999.0
2021,9,30,0,-999.0,-999.0
2021,9,30,1,-999.0,-999.0
2021,9,30,2,-999.0,-999.0
2021,9,30,3,-999.0,-999.0
2021,9,30,4,-999.0,-999.0
2021,9,30,5,-999.0,-999.0
2021,9,30,6,-999.0,-999.0
2021,9,30,7,-999.0,-999.0
2021,9,30,8,-999.0,-999.0
2021,9,30,9,-999.0,-999.0
2021,9,30,10,-999.0,-999.0
2021,9,30,11,-999.0,-999.0
2021,9,30,12,-999.0,-999.0
2021,9,30,13,-999.0,-999.0
2021,9,30,14,-999.0,-999.0
2021,9,30,15,-999.0,-999.0
2021,9,30,16,-999.0,-999.0
2021,9,30,17,-999.0,-999.0
2021,9,30,18,-999.0,-999.0
2021,9,30,19,-999.0,-999.0
2021,9,30,20,-999.0,-999.0
2021,9,30,21,-999.0,-999.0
2021,9,30,22,-999.0,-999.0
2021,9,30,23,-999.0,-999.0
2021,10,1,0,-999.0,-999.0
2021,10,1,1,-999.0,-999.0
2021,10,1,2,-999.0,-999.0
2021,10,1,3,-999.0,-999.0
2021,10,1,4,-999.0,-999.0
2021,10,1,5,-999.0,-999.0
2021,10,1,6,-999.0,-999.0
2021,10,1,7,-999.0,-999.0
2021,10,1,8,-999.0,-999.0
2021,10,1,9,-999.0,-999.0
2021,10,1,10,-999.0,-999.0
2021,10,1,11,-999.0,-999.0
2021,10,1,12,-999.0,-999.0
2021,10,1,13,-999.0,-999.0
2021,10,1,14,-999.0,-999.0
2021,10,1,15,-999.0,-999.0
2021,10,1,16,-999.0,-999.0
2021,10,1,17,-999.0,-999.0
2021,10,1,18,-999.0,-999.0
2021,10,1,19,-999.0,-999.0
2021,10,1,20,-999.0,-999.0
2021,10,1,21,-999.0,-999.0
2021,10,1,22,-999.0,-999.0
2021,10,1,23,-999.0,-999.0
